,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,mean_abs_error,correlation,scale,zero_point,tensor_name,range,rmse/scale
848,SOFTMAX,4394,16384.0,0.0006617507,-0.00018933036,0.0019841744,4.7639006e-07,0.0004294179,0.7285121624258909,0.00390625,-128,model_1/transformer/layer_7/mha/mhasdp_2/Softmax,0.99609375,0.17669380003882423
903,SOFTMAX,4614,16384.0,0.0006807327,-0.00017751385,0.0020399655,4.985702e-07,0.0004402747,0.7166024903739654,0.00390625,-128,model_1/transformer/layer_7/mha/mhasdp_7/Softmax,0.99609375,0.18076032924068267
525,SOFTMAX,3102,16384.0,0.00052021304,-8.447455e-05,0.0019524229,2.781582e-07,0.00024825818,0.7163472386815692,0.00390625,-128,model_1/transformer/layer_4/mha/mhasdp_4/Softmax,0.99609375,0.13501620567620762
158,SOFTMAX,1634,16384.0,0.0008672342,-8.364502e-05,0.0019525131,7.62603e-07,0.000614302,0.7127130107032974,0.00390625,-128,model_1/transformer/layer_1/mha/mhasdp_2/Softmax,0.99609375,0.22355748747917167
588,MUL,3354,65536.0,0.025593411,-0.00040814272,2.8191776,0.0006659883,0.003476855,0.707024517098952,0.08785308,-63,model_1/transformer/layer_4/output_layer_norm/mul_1,22.4025354,0.2937489399032652
589,ADD,3358,65536.0,0.0258807,-0.0003615767,0.2805996,0.00066995533,0.022300161,0.702284251178003,0.08878585,-63,model_1/transformer/layer_4/output_layer_norm/add_1,22.64039175,0.2915272571065933
934,ADD,4738,65536.0,0.016414883,-0.00022651075,0.029177923,0.00026950907,0.014205601,0.6966567880424779,0.05625365,-47,model_1/transformer/layer_7/output_layer_norm/add_1,14.34468075,0.2918340659543279
801,SUB,4206,65536.0,0.002394839,0.034333788,0.039402362,0.0011868654,0.034334403,0.692648056338271,0.11299499,-65,model_1/transformer/layer_6/attention_layer_norm/sub,28.81372245,0.304888853082563
795,ADD,4182,65536.0,0.03270147,-0.0003284183,0.3903664,0.0010695645,0.028206129,0.6922852789553082,0.11297021,-65,model_1/transformer/layer_6/add,28.80740355,0.2894939911890897
703,MUL,3814,65536.0,0.013330801,0.000104263665,0.07095103,0.00017784938,0.0052263523,0.6791208730222283,0.1043814,-76,model_1/transformer/layer_5/output_layer_norm/mul_1,26.617257,0.1277623996838362
816,SUB,4266,65536.0,0.041029025,0.09052344,0.33646634,0.009893397,0.09052539,0.6790036300995465,0.75342786,-119,model_1/transformer/layer_6/output_layer_norm/sub,192.1241043,0.1320173597676771
136,SOFTMAX,1546,16384.0,0.0010533356,-9.738279e-05,0.0019526364,1.1203327e-06,0.00087511225,0.6684490587512611,0.00390625,-128,model_1/transformer/layer_1/mha/mhasdp_0/Softmax,0.99609375,0.27096517087478234
704,ADD,3818,65536.0,0.030394053,-0.0015735582,0.054701634,0.00092629855,0.026115965,0.6665510282787956,0.10687247,-77,model_1/transformer/layer_5/output_layer_norm/add_1,27.25247985,0.2847801046887825
933,MUL,4734,65536.0,0.016535012,-2.09632e-05,0.03601099,0.00027341262,0.014137847,0.6627963835859418,0.05743854,-47,model_1/transformer/layer_7/output_layer_norm/mul_1,14.646827700000001,0.28787628265887216
810,ADD,4242,65536.0,0.23319015,-0.006152223,0.37443227,0.054419097,0.17642319,0.6592076919935377,0.75466603,-119,model_1/transformer/layer_6/add_1,192.43983765,0.3091155581198939
755,SOFTMAX,4022,16384.0,0.00047127117,-0.00010164754,0.0019582636,2.3353834e-07,0.00022083939,0.648637821405321,0.00390625,-128,model_1/transformer/layer_6/mha/mhasdp_4/Softmax,0.99609375,0.12371406003458135
32,SOFTMAX,1130,16384.0,0.0010842858,-0.00020048433,0.0019528614,1.2165999e-06,0.00094952143,0.6451067727859409,0.00390625,-128,model_1/transformer/layer_0/mha/mhasdp_1/Softmax,0.99609375,0.28236694396901346
817,MUL,4270,65536.0,0.03545381,0.00019886425,0.17015728,0.0012572616,0.022109177,0.6423093330869198,0.1151176,-69,model_1/transformer/layer_6/output_layer_norm/mul,29.354988,0.30801445545856415
788,SOFTMAX,4154,16384.0,0.0008508934,-0.00015524347,0.0019529143,7.520394e-07,0.00061651494,0.6414292795605053,0.00390625,-128,model_1/transformer/layer_6/mha/mhasdp_7/Softmax,0.99609375,0.22200372546063277
618,SOFTMAX,3474,16384.0,0.00045734577,-0.0001089135,0.0019520464,2.2207341e-07,0.0002189466,0.6408164286500163,0.00390625,-128,model_1/transformer/layer_5/mha/mhasdp_2/Softmax,0.99609375,0.12063914372109909
147,SOFTMAX,1590,16384.0,0.0010497107,-0.00020858184,0.001952754,1.151706e-06,0.0009195137,0.6213786870704631,0.00390625,-128,model_1/transformer/layer_1/mha/mhasdp_1/Softmax,0.99609375,0.2747329692920018
722,SOFTMAX,3890,16384.0,0.0004439403,-8.0626436e-05,0.0019770549,2.0420727e-07,0.000190427,0.613512286017273,0.00390625,-128,model_1/transformer/layer_6/mha/mhasdp_1/Softmax,0.99609375,0.11568460419053177
702,MUL,3810,65536.0,0.0063704955,-7.9335085e-05,0.6399952,4.31759e-05,0.00088132516,0.6080990637381305,0.109030925,-80,model_1/transformer/layer_5/output_layer_norm/mul,27.802885875,0.06026581068794716
733,SOFTMAX,3934,16384.0,0.00050928217,-0.00014565428,0.0019520229,2.827281e-07,0.00027988703,0.6072023486214896,0.00390625,-128,model_1/transformer/layer_6/mha/mhasdp_2/Softmax,0.99609375,0.13612078739707612
492,SOFTMAX,2970,16384.0,0.00043035543,-6.287273e-05,0.0019520669,1.8999832e-07,0.00017296115,0.5832445018917014,0.00390625,-128,model_1/transformer/layer_4/mha/mhasdp_1/Softmax,0.99609375,0.11158731961795659
535,ADD,3142,16384.0,0.0,0.0,0.0,0.0,0.0,0.5794248803835387,0.11402245,25,model_1/transformer/layer_4/mha/mhasdp_5/add,29.07572475,0.0
534,MUL,3138,16384.0,0.0,0.0,0.0,0.0,0.0,0.5794248803835387,0.11402245,25,model_1/transformer/layer_4/mha/mhasdp_5/truediv;model_1/transformer/layer_0/mha/mhasdp_0/Sqrt,29.07572475,0.0
